"nr","framing","shape","color","fix_cross_time","outcome","correct_response","given_response","accuracy","feedback","rt","trial_nr","order_per_8","age","gender","colorblind","times_instructions_read","first_framing","was_first_exp"
1,"incongruent","stars","pink",0.979,"punishment","Go","NoGo",0,"-10",NA,0,8,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",0.931,"reward","Go","Go",1,"10",0.490811499999836,1,2,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.82,"punishment","NoGo","NoGo",1,"-1",NA,2,3,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.035,"reward","NoGo","NoGo",1,"10",NA,3,1,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.158,"punishment","Go","Go",1,"-1",0.454404899999645,4,4,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",0.98,"reward","NoGo","NoGo",1,"10",NA,5,5,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",0.863,"reward","Go","Go",1,"10",0.776404600001115,6,6,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",1.095,"punishment","NoGo","Go",0,"-10",0.533066500000132,7,7,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",0.931,"reward","NoGo","NoGo",1,"10",NA,8,5,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.183,"reward","NoGo","NoGo",1,"10",NA,9,1,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",0.798,"reward","Go","Go",1,"10",0.498766000000614,10,6,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.939,"punishment","NoGo","NoGo",1,"-1",NA,11,3,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.918,"punishment","NoGo","Go",0,"-10",0.924150300001202,12,7,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",0.816,"reward","Go","Go",1,"10",0.673046500000055,13,2,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.18,"punishment","Go","Go",1,"-1",0.434668199999578,14,8,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.192,"punishment","Go","Go",1,"-1",0.545164099999965,15,4,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",0.9,"reward","Go","Go",1,"10",0.342583499998,16,6,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.772,"punishment","NoGo","NoGo",1,"-1",NA,17,7,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",0.774,"reward","NoGo","NoGo",1,"10",NA,18,5,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.214,"reward","NoGo","NoGo",1,"10",NA,19,1,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.001,"punishment","Go","Go",1,"-1",0.479052399998181,20,8,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.091,"punishment","Go","Go",1,"-1",0.623741499999596,21,4,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",0.803,"reward","Go","Go",1,"10",0.44617659999858,22,2,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",1.23,"punishment","NoGo","NoGo",1,"-1",NA,23,3,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.128,"punishment","Go","Go",1,"-1",0.689374399997178,24,8,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",0.886,"punishment","Go","Go",1,"-1",0.644409399999859,25,4,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",0.986,"reward","NoGo","NoGo",1,"10",NA,26,1,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",0.934,"reward","Go","Go",1,"10",0.95943559999796,27,6,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.794,"punishment","NoGo","NoGo",1,"-1",NA,28,7,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.077,"reward","Go","Go",1,"10",0.862442099998589,29,2,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",0.969,"reward","NoGo","NoGo",1,"10",NA,30,5,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.911,"punishment","NoGo","NoGo",1,"-1",NA,31,3,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.862,"punishment","NoGo","Go",0,"-10",0.723628100000496,32,3,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.045,"punishment","Go","Go",1,"-1",0.581728199998906,33,8,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.079,"punishment","Go","NoGo",0,"-10",NA,34,4,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.204,"reward","NoGo","NoGo",1,"10",NA,35,5,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.937,"punishment","NoGo","NoGo",1,"-1",NA,36,7,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",0.771,"reward","NoGo","NoGo",1,"10",NA,37,1,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",0.925,"reward","Go","NoGo",0,"1",NA,38,6,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",0.901,"reward","Go","Go",1,"10",0.506367799996951,39,2,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",0.766,"reward","NoGo","NoGo",1,"10",NA,40,5,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",1.172,"punishment","NoGo","Go",0,"-10",0.849283100000321,41,7,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.08,"punishment","Go","Go",1,"-1",0.51929420000306,42,8,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.144,"reward","Go","Go",1,"10",0.577112800001487,43,2,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.14,"reward","NoGo","NoGo",1,"10",NA,44,1,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.073,"punishment","Go","Go",1,"-1",0.497089600001345,45,4,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",1.007,"punishment","NoGo","NoGo",1,"-1",NA,46,3,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",0.946,"reward","Go","Go",1,"10",0.804212799997913,47,6,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.096,"reward","Go","Go",1,"10",0.453150800000003,48,6,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.232,"reward","Go","Go",1,"10",0.545239300001413,49,2,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.947,"punishment","NoGo","Go",0,"-10",0.875114499998745,50,3,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",0.757,"reward","NoGo","NoGo",1,"10",NA,51,5,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",0.935,"punishment","Go","Go",1,"-1",0.513796399998682,52,8,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",0.974,"punishment","Go","Go",1,"-1",0.533806399998866,53,4,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",0.85,"reward","NoGo","NoGo",1,"10",NA,54,1,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",1.031,"punishment","NoGo","NoGo",1,"-1",NA,55,7,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",0.964,"reward","Go","Go",1,"10",0.683293599999161,56,2,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.177,"reward","NoGo","NoGo",1,"10",NA,57,1,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",0.98,"punishment","Go","Go",1,"-1",0.652247800000623,58,8,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.892,"punishment","NoGo","NoGo",1,"-1",NA,59,3,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.234,"reward","Go","Go",1,"10",0.444235099999787,60,6,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.048,"punishment","Go","Go",1,"-1",0.493396500001836,61,4,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",0.808,"reward","NoGo","NoGo",1,"10",NA,62,5,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",1.093,"punishment","NoGo","NoGo",1,"-1",NA,63,7,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.238,"reward","Go","Go",1,"10",0.771368599998823,64,6,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",0.785,"punishment","Go","Go",1,"-1",0.459515100003046,65,4,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.881,"punishment","NoGo","Go",0,"-10",0.66046809999898,66,3,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",0.936,"punishment","Go","Go",1,"-1",0.861712999998417,67,8,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.181,"reward","NoGo","NoGo",1,"10",NA,68,5,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.087,"reward","NoGo","NoGo",1,"10",NA,69,1,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.859,"punishment","NoGo","Go",0,"-10",0.848174300001119,70,7,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.142,"reward","Go","Go",1,"10",0.801689700001589,71,2,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",1.247,"punishment","NoGo","NoGo",1,"-1",NA,72,7,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.898,"punishment","NoGo","Go",0,"-10",0.576124399998662,73,3,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.012,"reward","NoGo","NoGo",1,"10",NA,74,5,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.133,"reward","Go","Go",1,"10",0.485564800001157,75,6,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.121,"reward","Go","Go",1,"10",0.877519899997424,76,2,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",0.824,"punishment","Go","NoGo",0,"-10",NA,77,4,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.141,"reward","NoGo","NoGo",1,"10",NA,78,1,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.075,"punishment","Go","Go",1,"-1",0.620053399998142,79,8,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.162,"reward","Go","NoGo",0,"1",NA,80,2,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",0.824,"punishment","Go","Go",1,"-1",0.549468999997771,81,4,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",0.816,"punishment","Go","Go",1,"-1",0.528316299998551,82,8,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.18,"reward","NoGo","NoGo",1,"10",NA,83,5,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",0.997,"reward","Go","Go",1,"10",0.542114700001548,84,6,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",1.108,"punishment","NoGo","Go",0,"-10",0.986432099998638,85,7,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",0.809,"reward","NoGo","NoGo",1,"10",NA,86,1,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",1.155,"punishment","NoGo","Go",0,"-10",0.711825900001713,87,3,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.011,"punishment","Go","Go",1,"-1",0.647779300001275,88,8,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.881,"punishment","NoGo","NoGo",1,"-1",NA,89,7,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.109,"reward","NoGo","NoGo",1,"10",NA,90,5,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.074,"reward","Go","Go",1,"10",0.549394300000131,91,2,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.126,"punishment","Go","NoGo",0,"-10",NA,92,4,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.087,"reward","Go","Go",1,"10",0.710338299999421,93,6,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.075,"reward","NoGo","NoGo",1,"10",NA,94,1,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",1.058,"punishment","NoGo","Go",0,"-10",0.53277469999739,95,3,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.183,"reward","Go","Go",1,"10",0.676612700000987,96,2,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",0.963,"punishment","Go","Go",1,"-1",0.542820700000448,97,8,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.092,"reward","NoGo","NoGo",1,"10",NA,98,1,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.14,"punishment","Go","Go",1,"-1",0.552454900000157,99,4,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",1.24,"punishment","NoGo","NoGo",1,"-1",NA,100,3,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.232,"reward","Go","Go",1,"10",0.498464700001932,101,6,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.206,"reward","NoGo","NoGo",1,"10",NA,102,5,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",1.235,"punishment","NoGo","NoGo",1,"-1",NA,103,7,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",0.779,"reward","Go","Go",1,"10",0.512339299999439,104,6,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",0.753,"punishment","Go","Go",1,"-1",0.755404000003182,105,4,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",0.815,"reward","NoGo","NoGo",1,"10",NA,106,5,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",0.995,"punishment","Go","Go",1,"-1",0.575374800002464,107,8,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.88,"punishment","NoGo","NoGo",1,"-1",NA,108,7,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",0.881,"reward","Go","Go",1,"10",0.573390500001551,109,2,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.926,"punishment","NoGo","Go",0,"-10",0.784380400000373,110,3,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",1.155,"reward","NoGo","NoGo",1,"10",NA,111,1,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","blue",1.005,"reward","Go","Go",1,"10",0.53782240000146,112,2,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","blue",0.784,"reward","NoGo","NoGo",1,"10",NA,113,5,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.984,"punishment","NoGo","Go",0,"-10",0.892146499998489,114,3,18,"Female","0",1,"incongruent",1
1,"incongruent","triangles","pink",0.975,"punishment","NoGo","NoGo",1,"-1",NA,115,7,18,"Female","0",1,"incongruent",1
1,"incongruent","stars","pink",1.093,"punishment","Go","Go",1,"-1",0.563170299999911,116,4,18,"Female","0",1,"incongruent",1
